U.S. State, Average Life Expectancy (2014)
Mississippi, 74.91
Alabama, 75.65
Lousiana, 75.82
West Virginia, 76.03
Oklahoma, 76.09
Arkansas, 76.18
Kentucky, 76.26
Tennessee, 76.33
South Carolina, 76.89
Georgia, 77.38
Indiana, 77.69
Missouri, 77.73
North Carolina, 77.86
Ohio, 77.91
Nevada, 78.11
Michigan, 78.26
New Mexico, 78.35
Alaska, 78.41
Texas, 78.54
Wyoming, 78.62
Delaware, 78.72
Kansas, 78.74
Pennsylvania, 78.93
Montana, 78.93
Illinois, 79.02
Maryland, 79.16
Virginia, 79.18
Maine, 79.32
Oregon, 79.44
Florida, 79.48
Idaho, 79.49
South Dakota, 79.57
Arizona, 79.58
Nebraska, 79.58
Iowa, 79.73
Rhode Island, 79.76
Wisconsin, 79.79
Utah, 79.91
North Dakota, 79.95
Washington, 79.99
New Jersey, 80.04
New Hampshire, 80.15
Colorado, 80.21
Vermont, 80.24
New York, 80.36
Massachusetts, 80.41
Connecticut, 80.56
California, 80.82
Minnesota, 80.9
Hawaii, 81.15