U.S. State, Unemployment Rate (2014)
North Dakota,2.7
Nebraska,3.3
South Dakota,3.4
Utah,3.8
Vermont,4.0
Wyoming,4.1
Iowa,4.2
Minnesota,4.2
New Hampshire,4.3
Hawaii,4.4
Kansas,4.5
Oklahoma,4.5
Montana,4.7
Idaho,4.9
Colorado,5.0
Texas,5.1
Virginia,5.2
Wisconsin,5.4
Maine,5.6
Delaware,5.7
Massachusetts,5.7
Maryland,5.8
Ohio,5.8
Pennsylvania,59	
Arkansas,60
Indiana,6.0
Missouri,6.1
Washington,6.1
Florida,6.3
New York,6.3
North Carolina,6.3
Louisiana,6.4
Kentucky,6.5
South Carolina,6.5
Connecticut,6.6
Tennessee,6.6
West Virginia,6.6
New Mexico,6.7
Alabama,6.8
Arizona,6.8
New Jersey,6.8	
Oregon,6.8	
Alaska, 6.9	
Georgia, 7.1	
Illinois, 7.1	
Michigan, 7.2
California, 7.5
Mississippi, 7.5
Rhode Island, 7.8
Nevada, 7.9